F-Pace,Jaguar,4999,551,405,8,Gasoline
F-Pace,Jaguar,2993,300,221,6,Diesel
F-Type Coupé,Jaguar,5000,575,423,8,Gasoline
F-Type Coupé,Jaguar,2995,340,250,6,Gasoline
I-Pace,Jaguar,0,400,294,0,Electric
XJ,Jaguar,2993,300,221,6,Diesel
Urus,Lamborghini,3996,650,478,8,Gasoline
Camaro Coupé,Chevrolet,6162,453,333,8,Gasoline
Corvette Coupé,Chevrolet,6162,659,485,8,Gasoline
Corvette Coupé,Chevrolet,6162,466,343,8,Gasoline
CT6,Cadillac,2997,417,307,6,Gasoline
CTS,Cadillac,6162,649,477,8,Gasoline
i8,BMW,1499,374,275,3,Hybrid
Serie 1,BMW,1499,109,80,3,Gasoline
Serie 1,BMW,1496,95,70,3,Diesel
Serie 3 Gran Turismo,BMW,2998,326,240,6,Gasoline
Serie 3 Gran Turismo,BMW,2993,313,230,6,Diesel
Serie 6 Gran Turismo,BMW,1998,258,190,4,Gasoline
Serie 6 Gran Turismo,BMW,2993,320,235,6,Diesel
Serie 8 Coupé,BMW,4395,530,390,8,Gasoline
X6,BMW,4395,575,423,8,Gasoline
A3 Sportback,Audi,2480,400,294,5,Gasoline
A3 Sportback,Audi,1968,184,135,4,Diesel
A5 Sportback,Audi,1984,252,185,4,Hybrid
A5 Sportback,Audi,2967,218,160,6,Diesel
A7 Sportback,Audi,2967,286,210,6,Hybrid
Q7,Audi,2967,286,210,6,Hybrid
Q8,Audi,2967,286,210,6,Hybric
R8,Audi,5204,610,449,10,Gasoline
TT Coupé,Audi,1798,197,132,4,Gasoline
DB11 Coupé,Aston Martin,5204,639,470,12,Gasoline
Rapide,Aston Martin,5935,559,411,12,Gasoline
Stelvio,Alfa Romeo,2891,510,375,6,Gasoline
Giulia,Alfa Romeo,2890,510,375,6,Gasoline
Giulia,ALfa Romeo,2143,209,154,4,Diesel
Continental GT,Bentley,5960,635,467,12,Gasoline
488,Ferrari,3902,721,530,8,Gasoline
812 Superfast,Ferrari,6496,799,588,12,Gasoline
GTC4 Lusso,Ferrari,6262,689,507,12,Gasoline
Aventador,Lamborghini,6498,740,544,12,Gasoline
Huracan,Lamborghini,5204,639,470,10,Gasoline
Wraith,Rolls-Royce,6592,632,465,12,Gasoline
CLS,Mercedes,1950,245,180,4,Diesel
Classe A,Mercedes,1991,306,225,4,Gasoline
Levante,Maserati,2979,430,316,6,Gasoline
Gran Turismo,Maserati,4691,460,338,8,Gasoline
RC,Lexus,4969,477,351,8,Gasoline
RC,Lexus,2494,223,164,4,Hybrid
Panamera Sport Turismo,Porsche,3996,680,500,8,Hybrid
Cayenne,Porsche,2995,340,250,6,Gasoline
Model S,Tesla,0,322,237,0,Electric
Range Rover Classic,Land Rover,1999,404,297,4,Hybrid
Velar,Land Rover,2995,381,280,6,Gasoline
Velar,Land Rover,2993,300,221,6,Diesel
CX-5,Mazda,1998,165,121,4,Gasoline
E-Pace,Jaguar,1998,249,183,4,Gasoline
E-Pace,Jaguar,2995,300,221,4,Gasoline





